type,date,num_files,total_MB,throughput,avg_io_rate,io_stddev,exec_time
write,"Thu Apr 10 15:18:17 UTC 2025",10,100,16.67,17.94,5.75,19.79
read,"Thu Apr 10 15:19:15 UTC 2025",10,100,303.95,375.19,186.47,17.71
read,"Thu Apr 10 15:39:55 UTC 2025",10,100,400,461.45,185.7,15.85
read,"Thu Apr 10 15:40:33 UTC 2025",10,100,284.09,407.52,248.71,17.67
read,"Thu Apr 10 15:41:06 UTC 2025",10,100,242.13,263.01,94.14,17.88
read,"Thu Apr 10 15:42:08 UTC 2025",10,100,171.82,252.6,194.69,18.71
write,"Tue Apr 15 02:49:24 UTC 2025",10,1280,10.09,74.39,110.6,40.01
write,"Tue Apr 15 02:50:09 UTC 2025",10,1280,69.79,78.7,28.09,28.01
write,"Tue Apr 15 02:50:46 UTC 2025",10,1280,69.16,100.24,58.12,27.45
write,"Tue Apr 15 02:51:34 UTC 2025",10,1280,9.8,68.68,107.39,40.03
read,"Tue Apr 15 02:54:06 UTC 2025",10,1280,400.88,419.35,88.56,16.96
read,"Tue Apr 15 02:54:32 UTC 2025",10,1280,325.04,468.53,327.51,19.41
read,"Tue Apr 15 02:55:01 UTC 2025",10,1280,354.57,364.08,59.99,16.95
read,"Tue Apr 15 02:55:28 UTC 2025",10,1280,455.03,529.47,237.03,16.02
read,"Tue Apr 15 02:56:03 UTC 2025",10,1280,504.14,591.58,207.03,17.98
write,"Tue Apr 15 02:58:27 UTC 2025",10,2560,79.04,121.18,143.47,43.46
write,"Tue Apr 15 02:59:40 UTC 2025",10,2560,12.92,28.86,49.72,42.24
write,"Tue Apr 15 03:00:31 UTC 2025",10,2560,16.25,26.65,29.37,41.58
write,"Tue Apr 15 03:01:23 UTC 2025",10,2560,14.5,80.25,193.9,43.27
write,"Tue Apr 15 03:02:16 UTC 2025",10,2560,21.71,73.07,72.85,43.3
write,"Tue Apr 15 03:02:44 UTC 2025",10,2560,124.56,130.29,27.73,21.09
write,"Tue Apr 15 03:04:03 UTC 2025",10,2560,7.56,122.63,236.56,71.11
read,"Tue Apr 15 03:05:21 UTC 2025",10,2560,454.55,526.86,202.26,20.13
read,"Tue Apr 15 03:05:48 UTC 2025",10,2560,413.3,485.15,252.37,18.12
read,"Tue Apr 15 03:06:14 UTC 2025",10,2560,363.07,424.09,200.27,19.02
read,"Tue Apr 15 03:06:41 UTC 2025",10,2560,259.11,276.77,73.06,20.13
read,"Tue Apr 15 03:07:05 UTC 2025",10,2560,458.21,589.17,290.69,18.15
read,"Tue Apr 15 03:07:34 UTC 2025",10,2560,360.82,412.72,170.98,18.03
