type,date,num_files,total_MB,throughput,avg_io_rate,io_stddev,exec_time
read,"Tue Apr 15 03:21:16 UTC 2025",10,2560,388.64,409.05,102.06,18.9
read,"Tue Apr 15 03:21:40 UTC 2025",10,2560,343.49,617.68,628.05,19.94
read,"Tue Apr 15 03:22:04 UTC 2025",10,2560,424.54,492.82,202.25,19.32
read,"Tue Apr 15 03:23:19 UTC 2025",10,2560,409.01,556.11,333.66,18.94
read,"Tue Apr 15 03:23:44 UTC 2025",10,2560,352.37,416.07,215.58,19.91
read,"Tue Apr 15 03:25:55 UTC 2025",10,1280,391.8,605.46,457.1,16.97
read,"Tue Apr 15 03:26:17 UTC 2025",10,1280,549.83,857.09,680.87,16
read,"Tue Apr 15 03:27:12 UTC 2025",10,1280,701.75,945.11,637,17.41
read,"Tue Apr 15 03:27:33 UTC 2025",10,1280,477.79,494.28,102.04,15.86
read,"Tue Apr 15 03:28:10 UTC 2025",10,1280,541.46,616.87,225.26,16.86

type,date,num_files,total_MB,throughput,avg_io_rate,io_stddev,exec_time
write,"Mon Apr 21 21:21:49 UTC 2025",10,640,27.51,32.2,14.42,22.09
read,"Mon Apr 21 21:22:11 UTC 2025",10,640,113.98,499.87,472.19,20.96
read,"Mon Apr 21 21:22:32 UTC 2025",10,640,308.58,489.87,414.7,19.33
read,"Mon Apr 21 21:22:52 UTC 2025",10,640,309.93,405.22,242.12,18.36
read,"Mon Apr 21 21:23:12 UTC 2025",10,640,356.94,456.47,281.7,17.9
read,"Mon Apr 21 21:23:31 UTC 2025",10,640,320,345.4,90.37,17.39
read,"Mon Apr 21 21:23:51 UTC 2025",10,640,392.4,596.48,488.68,18.3
read,"Mon Apr 21 21:24:11 UTC 2025",10,640,383,636.89,527.72,17.9
write,"Mon Apr 21 22:01:17 UTC 2025",10,1280,128.03,136.12,36.24,25.08
read,"Mon Apr 21 22:01:37 UTC 2025",10,1280,370.58,666.49,733.67,18.33
read,"Mon Apr 21 22:01:57 UTC 2025",10,1280,389.06,658.39,656.71,17.93
write,"Mon Apr 21 22:03:05 UTC 2025",10,2560,10.89,143.32,226.45,65.47
read,"Mon Apr 21 22:03:25 UTC 2025",10,2560,284.35,296.69,62.97,17.98
read,"Mon Apr 21 22:03:46 UTC 2025",10,2560,338.98,583.42,590.92,19.88
write,"Mon Apr 21 22:05:32 UTC 2025",10,5120,66.93,68.76,11.71,102.71
read,"Mon Apr 21 22:05:54 UTC 2025",10,5120,286.56,336.12,121.51,19.44
read,"Mon Apr 21 22:06:18 UTC 2025",10,5120,213.09,432.34,506.85,22.95
