type,date,num_files,total_MB,throughput,avg_io_rate,io_stddev,exec_time
read,"Tue Apr 15 02:13:27 UTC 2025",10,1280,342.89,377.68,125.24,16.98
read,"Tue Apr 15 02:13:53 UTC 2025",10,1280,559.93,704.58,414.46,17.07
read,"Tue Apr 15 02:14:18 UTC 2025",10,1280,368.98,395.25,108.44,16.96
read,"Tue Apr 15 02:22:08 UTC 2025",10,2560,418.78,438.24,84.02,18.99
read,"Tue Apr 15 02:23:45 UTC 2025",10,2560,373.78,405.06,105.49,16.96
read,"Tue Apr 15 02:24:13 UTC 2025",10,2560,297.4,377.37,253.15,21.02
read,"Tue Apr 15 02:24:39 UTC 2025",10,2560,343.85,371.01,105.99,18.09
read,"Tue Apr 15 04:42:11 UTC 2025",10,5120,327.76,409.62,223.27,20.05
read,"Tue Apr 15 04:42:40 UTC 2025",10,5120,340.09,402.28,194.36,18.95
read,"Tue Apr 15 04:43:08 UTC 2025",10,5120,279,367.66,249.7,19.97
read,"Tue Apr 15 04:44:07 UTC 2025",10,5120,380.75,398.07,85.77,18.12
read,"Tue Apr 15 04:44:53 UTC 2025",10,5120,390.57,414.25,100.87,18.59
read,"Tue Apr 15 05:53:03 UTC 2025",10,5120,359.12,410.48,157.53,19.02
read,"Tue Apr 15 05:53:31 UTC 2025",10,5120,347.4,408.1,184.85,19.4
read,"Tue Apr 15 05:53:59 UTC 2025",10,5120,367.21,379.58,66,19.09
read,"Tue Apr 15 05:54:53 UTC 2025",10,5120,498.93,590.55,287.42,18.57
read,"Tue Apr 15 05:55:20 UTC 2025",10,5120,342.25,434.12,267.32,19
