type,date,num_files,total_MB,throughput,avg_io_rate,io_stddev,exec_time
read,"Tue Apr 15 02:10:12 UTC 2025",10,1280,431.7,648.43,528.8,17.93
read,"Tue Apr 15 02:10:36 UTC 2025",10,1280,422.3,734.9,626.21,17.92
read,"Tue Apr 15 02:10:57 UTC 2025",10,1280,503.94,556.22,201.76,16.9
read,"Tue Apr 15 02:11:36 UTC 2025",10,1280,343.81,452.79,292.62,19.94
read,"Tue Apr 15 02:19:13 UTC 2025",10,2560,595.21,669.29,264.91,16.97
read,"Tue Apr 15 02:19:37 UTC 2025",10,2560,485.68,522.1,153.28,17.34
read,"Tue Apr 15 02:20:05 UTC 2025",10,2560,432.65,469.72,152.3,18.06
read,"Tue Apr 15 04:46:41 UTC 2025",10,5120,282.08,313.75,123.44,18.07
read,"Tue Apr 15 04:47:06 UTC 2025",10,5120,498.25,577.39,240.04,18.98
read,"Tue Apr 15 04:47:31 UTC 2025",10,5120,600.59,904.05,750.34,17.01
read,"Tue Apr 15 04:47:55 UTC 2025",10,5120,339.1,358.34,88.41,18.02
read,"Tue Apr 15 04:49:10 UTC 2025",10,5120,546.37,746.3,457.11,18.5

type,date,num_files,total_MB,throughput,avg_io_rate,io_stddev,exec_time
write,"Mon Apr 21 21:21:49 UTC 2025",10,640,27.51,32.2,14.42,22.09
read,"Mon Apr 21 21:22:11 UTC 2025",10,640,113.98,499.87,472.19,20.96
read,"Mon Apr 21 21:22:32 UTC 2025",10,640,308.58,489.87,414.7,19.33
read,"Mon Apr 21 21:22:52 UTC 2025",10,640,309.93,405.22,242.12,18.36
read,"Mon Apr 21 21:23:12 UTC 2025",10,640,356.94,456.47,281.7,17.9
read,"Mon Apr 21 21:23:31 UTC 2025",10,640,320,345.4,90.37,17.39
read,"Mon Apr 21 21:23:51 UTC 2025",10,640,392.4,596.48,488.68,18.3
read,"Mon Apr 21 21:24:11 UTC 2025",10,640,383,636.89,527.72,17.9
write,"Mon Apr 21 22:01:17 UTC 2025",10,1280,128.03,136.12,36.24,25.08
read,"Mon Apr 21 22:01:37 UTC 2025",10,1280,370.58,666.49,733.67,18.33
read,"Mon Apr 21 22:01:57 UTC 2025",10,1280,389.06,658.39,656.71,17.93
write,"Mon Apr 21 22:03:05 UTC 2025",10,2560,10.89,143.32,226.45,65.47
read,"Mon Apr 21 22:03:25 UTC 2025",10,2560,284.35,296.69,62.97,17.98
read,"Mon Apr 21 22:03:46 UTC 2025",10,2560,338.98,583.42,590.92,19.88
write,"Mon Apr 21 22:05:32 UTC 2025",10,5120,66.93,68.76,11.71,102.71
read,"Mon Apr 21 22:05:54 UTC 2025",10,5120,286.56,336.12,121.51,19.44
read,"Mon Apr 21 22:06:18 UTC 2025",10,5120,213.09,432.34,506.85,22.95
write,"Mon Apr 21 21:30:54 UTC 2025",10,640,90.81,94.55,21.94,17.94
read,"Mon Apr 21 21:31:13 UTC 2025",10,640,344.46,576.5,477.61,17.85
read,"Mon Apr 21 21:31:30 UTC 2025",10,640,497.28,556.2,219.82,16.4
read,"Mon Apr 21 21:31:50 UTC 2025",10,640,298.09,315.44,77.03,17.44
read,"Mon Apr 21 21:32:08 UTC 2025",10,640,398.75,653.99,475.87,16.96
read,"Mon Apr 21 21:32:26 UTC 2025",10,640,512,688.09,380.38,15.59
read,"Mon Apr 21 21:32:45 UTC 2025",10,640,343.16,531.15,432.39,18.32
read,"Mon Apr 21 21:33:03 UTC 2025",10,640,680.13,928.1,517.56,16.37
write,"Mon Apr 21 21:51:41 UTC 2025",10,1280,140.89,151.13,40.08,17.44
read,"Mon Apr 21 21:51:58 UTC 2025",10,1280,594.24,661.48,230.65,15.96
read,"Mon Apr 21 21:52:18 UTC 2025",10,1280,341.7,565.34,562.12,17.95
write,"Mon Apr 21 21:52:45 UTC 2025",10,2560,99.24,136.64,104.17,22.96
read,"Mon Apr 21 21:53:02 UTC 2025",10,2560,464.53,549.85,291.71,16.2
read,"Mon Apr 21 21:53:23 UTC 2025",10,2560,345.71,566.48,529.12,19.33
read,"Mon Apr 21 21:53:42 UTC 2025",10,2560,533.11,628.51,279.38,17
read,"Mon Apr 21 21:54:03 UTC 2025",10,2560,358.74,553.4,406.34,19.92
write,"Mon Apr 21 21:54:29 UTC 2025",10,5120,123.77,125.68,16.48,21.61
read,"Mon Apr 21 21:54:52 UTC 2025",10,5120,284.87,432.9,369.75,21.33
read,"Mon Apr 21 21:55:14 UTC 2025",10,5120,297.74,399.71,299.67,20.9
write,"Mon Apr 21 21:56:37 UTC 2025",10,1280,129.79,147.36,56.64,16.93
read,"Mon Apr 21 21:56:58 UTC 2025",10,1280,270.16,600.79,727.94,18.89
read,"Mon Apr 21 21:57:16 UTC 2025",10,1280,574.51,906.77,618.9,16.42
write,"Mon Apr 21 21:57:37 UTC 2025",10,2560,168.05,243.47,156.74,18.22
read,"Mon Apr 21 21:57:58 UTC 2025",10,2560,329.85,607.6,663.6,18.87
read,"Mon Apr 21 21:58:19 UTC 2025",10,2560,388.29,589.79,513.03,19.92
write,"Mon Apr 21 21:58:48 UTC 2025",10,5120,98.5,137.17,103.9,24.81
read,"Mon Apr 21 21:59:09 UTC 2025",10,5120,290.83,405.9,316.71,19.96
read,"Mon Apr 21 21:59:31 UTC 2025",10,5120,316.73,538.9,590.48,20.36
